App,Category,Rating,Reviews,Size in KB,Price,Content Rating,Current Version,Number of Languages
,None,0.0,0,0,0.0,Unrated,,1
iRagdoll - Ragdoll Physics,Game,4.0,1372,118683,0.99,Teen,1.8.3,1
Proloquo2Go - Symbol-based AAC,Education,4.0,773,723764,249.99,Everyone,5.0.1,3
Dictionary.com Dictionary & Thesaurus,Books & Reference,4.0,200047,111275,0.0,Everyone,7.1.3,1
,None,0.0,0,0,0.0,Unrated,,1
20 Minutes.fr - l'actualité en continu,News & Magazines,3.5,112,109616,0.0,Teen,5.0.11,17
The Masters Tournament,Sports,4.5,148160,120725,0.0,Everyone,9.0.701,1
myAT&T,Utilities,3.0,108507,68491,0.0,Everyone,5.3,2
SFR TV,Entertainment,3.0,46,122153,0.0,Everyone,7.3.0,1
"Shutterfly: Prints, Photo Books, Cards Made Easy",Photo & Video,4.0,51427,122315,0.0,Everyone,7.7.0,1
StickWars,Game,3.5,53821,17010,0.99,Teen,1.8.9,1
Indeed Job Search,Business,4.0,38681,3691,0.0,Everyone,4.3,28
World Cup Table Tennis™,Game,4.0,17776,31387,0.99,Everyone,4.6.1,11
WhatsApp Messenger,Social,4.5,287589,135044,0.0,Everyone,2.17.22,35
"iStudiez Pro – Homework, Schedule, Grades",Productivity,4.0,7308,55815,2.99,Everyone,1.9.1,30
Zillow Real Estate - Homes for Sale & for Rent,Lifestyle,4.5,342969,132632,0.0,Everyone,10.4.5,1
,None,0.0,0,0,0.0,Unrated,,1
2XL Supercross,Game,4.0,6093,270729,4.99,Everyone,1.2.1,7
,None,0.0,0,0,0.0,Unrated,,1
Pocket Tanks Deluxe,Game,4.5,5452,39827,4.99,Everyone 10+,2.3.1,1
,None,0.0,0,0,0.0,Unrated,,1
Wells Fargo Mobile,Finance,3.0,43064,57328,0.0,Everyone,3.55,2
,None,0.0,0,0,0.0,Unrated,,1
radio.de - Der Radioplayer,Music,4.5,64,40717,0.0,Everyone,4.0.5,14
AutoScout24 - mobile used & new car market,Productivity,4.5,220,141136,0.0,Everyone,9.1.10,13
Sky Burger - Build & Match Food Free,Game,4.5,114096,146228,0.0,Everyone,3.0.3,3
MindNode – Delightful Mind Mapping,Productivity,4.0,1296,52294,9.99,Everyone,4.5.3,13
Packing Pro,Travel & Local,4.0,1293,16332,2.99,Everyone,12.2,11
USAA Mobile,Finance,4.0,19946,164382,0.0,Everyone,7.32.3,1
The Moron Test,Entertainment,4.0,88613,45712,0.0,Everyone,6.3.1,1
Sunday Lawn,Game,3.5,107727,16086,0.99,Everyone,1.41.1,1
Peggle Classic,Game,4.5,21416,223805,0.99,Everyone,1.7.2,5
SmartGo Player,Game,4.0,533,22159,2.99,Everyone,2.5.1,9
I Am T-Pain 2.0,Music,3.5,32650,20542,2.99,Teen,2.0.4,1
TextNow - Unlimited Text + Calls,Social,3.5,164963,130637,0.0,Everyone,8.5.1,3
Boating Weather,Weather,3.0,141,8900,1.99,Everyone,4.5,1
Best Buy,Shopping,4.0,80424,180500,0.0,Everyone,10.11.0,2
I Dig It,Game,4.0,17190,19853,0.99,Everyone,1.12,1
Unblock Me,Game,4.0,7973,42926,0.99,Everyone,1.5.95,15
Sonic The Hedgehog,Game,4.0,19621,36692,2.99,Everyone,2.1.2,1
,None,0.0,0,0,0.0,Unrated,,1
10 Pin Shuffle Pro Bowling,Game,4.0,7315,36647,3.99,Everyone,2.01,6
Sky News,News & Magazines,3.0,118,91697,0.0,Teen,4.6,1
,None,0.0,0,0,0.0,Unrated,,1
"ESPN: Get scores, news, alerts & watch live sports",Sports,3.5,290996,51538,0.0,Everyone,5.7.1,2
LiveATC Air Radio,Travel & Local,4.0,2785,8302,3.99,Everyone,1.9.0,26
The Sims 3,Game,3.5,54408,430128,6.99,Teen,1.4.10,8
,None,0.0,0,0,0.0,Unrated,,1
"Chess Pro with Coach - Learn,Play & Online Friends",Game,4.0,8138,69960,9.99,Everyone,2.89,13
Guess My Age  Math Magic,Education,3.0,123190,767,0.0,Everyone,1.1,1
Crush the Castle,Game,3.5,23810,12996,0.99,Teen,1.5,1
2016 U.S. Open Golf Championship,Sports,4.0,54192,139545,0.0,Everyone,8.0.263,1
"The Championships, Wimbledon 2016 - Tennis Grand Slam",Sports,4.0,20953,130394,0.0,Everyone,8.1,1
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,Music,4.5,71609,101925,9.99,Teen,11.9,14
NBC News,News & Magazines,3.5,32881,52951,0.0,Teen,5.11.0,1
"Grindr - Gay and same sex guys chat, meet and date",Social,2.5,23201,80409,0.0,Mature 17+,3.9.1,5
Whole Foods Market,Shopping,3.0,17906,137312,0.0,Everyone,8.3.17,1
NAVIGON Europe,Maps & Navigation,3.5,927,144412,74.99,Everyone,2.17,21
Virtual Families,Game,3.5,18920,27746,1.99,Everyone 10+,1.1.2,1
Sparkasse+,Finance,3.0,30,119648,0.99,Everyone,3.1.3,3
Sparkasse - Your mobile branch,Finance,3.0,77,119574,0.0,Everyone,3.1.3,3
Sleep Cycle alarm clock,Health & Fitness,4.5,104539,79315,0.0,Everyone,5.4.1,13
FACEinHOLE®,Photo & Video,4.0,4016,12818,0.99,Teen,5.7,1
Harvest - Select the Best Produce,Food & Drink,4.0,299,18165,1.99,Everyone,3.1,1
WORMS,Game,4.0,5758,253834,1.99,Teen,2.6,1
Pixel Starships™ : 8Bit MMORPG,Game,4.5,5565,69083,0.0,Everyone 10+,0.39,17
Traffic Rush,Game,3.5,213092,8573,0.99,Everyone 10+,1.45.1,1
MyRadar NOAA Weather Radar Forecast,Weather,4.5,150158,127284,0.0,Everyone,5.1.4,8
,None,0.0,0,0,0.0,Unrated,,1
Resident Evil 4: PLATINUM,Game,4.0,6046,81374,4.99,Teen,1.04.10,1
"Waze - GPS Navigation, Maps & Real-time Traffic",Maps & Navigation,4.5,345046,94139,0.0,Everyone,4.24,36
Cartoon Wars,Game,3.5,35930,13216,0.99,Teen,114,1
Moto X Mayhem,Game,4.0,22557,21010,0.99,Everyone,1.8.7,1
Fantasy Football Manager - FFM for FPL,Sports,3.0,292,35998,0.99,Mature 17+,9.3,1
,None,0.0,0,0,0.0,Unrated,,1
Spotify Music,Music,4.5,878563,132510,0.0,Teen,8.4.3,18
McDo France,Food & Drink,3.5,22,37001,0.0,Everyone,4.0.16,30
PGA Championship 2016 – Baltusrol Golf Club,Sports,3.5,10472,64147,0.0,Mature 17+,8.1,1
,None,0.0,0,0,0.0,Unrated,,1
BFMTV : l'info en continu,News & Magazines,4.0,115,100779,0.0,Mature 17+,5.0.3,1
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",Weather,4.5,13915,123718,1.99,Everyone,5.1.4,8
Spider:  The Secret of Bryce Manor,Game,4.0,6780,126312,1.99,Everyone 10+,1.5,5
My Measures PRO,Productivity,4.0,1701,79882,7.99,Everyone,6.06,21
Food Additives Checker (E Numbers),Health & Fitness,3.5,6,6418,1.99,Everyone,4.1.2,8
,None,0.0,0,0,0.0,Unrated,,1
SFR Mon Compte,Utilities,3.0,19,74093,0.0,Everyone,6.4.0,1
Baby Connect (Activity Log),Medical,4.5,3483,12937,4.99,Everyone,5.4.3,14
Epson iPrint,Photo & Video,3.0,2838,53388,0.0,Everyone,6.3.1,12
Mad Libs,Entertainment,3.0,117889,118498,0.0,Everyone,3.3.3,1
,None,0.0,0,0,0.0,Unrated,,1
BATTLE BEARS: Zombies!,Game,3.5,50710,103197,0.99,Everyone 10+,1.6.7,1
,None,0.0,0,0,0.0,Unrated,,1
Hurricane Tracker,Weather,4.5,3960,24574,2.99,Everyone,5.0,1
NFL Sunday Ticket,Entertainment,3.0,24258,96093,0.0,Everyone,2.6.042,1
2016 US Open Tennis Championships,Sports,4.0,37522,77700,0.0,Everyone,8.0.353,1
Dropbox,Productivity,3.5,49578,180804,0.0,Everyone,50.2,20
Wa Kingyo - Goldfish Pond,Entertainment,4.0,626,56397,0.99,Everyone,2.0.3,2
Monkey Preschool Lunchbox,Game,4.0,9286,229272,1.99,Everyone,4.02,1
Yahoo Fantasy Sports,Sports,3.5,190670,131000,0.0,Mature 17+,9.1.0,45
Gaia GPS Classic,Maps & Navigation,4.5,2429,53097,19.99,Everyone,10.9.13,16
iLoan Calc (Loan calculator),Finance,0.0,0,3375,3.99,Everyone,5.1.0,3
Geocaching®,Maps & Navigation,3.5,12811,108166,0.0,Everyone,5.3,22
Camera+,Photo & Video,4.0,32338,89187,1.99,Everyone,9.1,10
Alter Ego,Game,4.0,262,13647,4.99,Teen,1.3.0,1
Parking Mania,Game,4.5,9657,123544,0.99,Everyone,2.5.0,12
Sudoku⁺,Game,4.5,18332,1608,2.99,Everyone,3.4,2
,None,0.0,0,0,0.0,Unrated,,1
Period Tracker Lite,Health & Fitness,4.0,53620,50169,0.0,Teen,9.5.1,15
Camera Plus: For Macro Photos & Remote Photography,Photo & Video,2.5,38533,101181,0.99,Everyone,4.5.4,11
The perfect Egg timer,Food & Drink,3.5,40,15329,0.99,Everyone,1.8.9,7
Letter Quiz - alphabet tracing for kids,Game,4.0,472,31845,1.99,Everyone,2.4,1
Starbucks,Food & Drink,4.5,303856,135032,0.0,Everyone,4.3.5,2
央视影音-海量央视内容高清直播,Sports,2.5,2070,54648,0.0,Everyone,6.2.0,1
Bloons TD,Game,4.0,7941,8432,2.99,Everyone,1.2.1,1
Weight Watchers,Health & Fitness,3.5,136833,230720,0.0,Teen,5.9.0,6
